ano;semestre;unidade;curso;qtd_ingressos;qtd_egressos;evasao
2025;2;FAENG;Arquitetura e Urbanismo - Bacharelado;1;1.0;0.0
2025;2;FAENG;Engenharia Civil;52;13.0;75.0
2025;2;INBIO;Ciências Biológicas;2;24.0;-1100.0
2025;2;INBIO;Ciências Biológicas - Bacharelado;3;17.0;-466.7
2025;2;INFI;Engenharia Física;7;6.0;14.3
2025;2;INFI;Física - Bacharelado;4;2.0;50.0
2025;2;INISA;Enfermagem;1;39.0;-3800.0
2025;2;INMA;Matemática - Licenciatura;2;1.0;50.0
2025;2;INQUI;Química - Bacharelado em Química Tecnológica;3;2.0;33.3
2024;1;AGEAD;Tecnologia em Processos Gerenciais;373;179.0;52.0
2024;1;CPAN;Ciências Biológicas - Licenciatura;43;6.0;86.0
2024;1;CPAN;Ciências Contábeis - Bacharelado;64;2.0;96.9
2024;1;CPAN;Direito;86;4.0;95.3
2024;1;CPAN;Geografia - Licenciatura;42;7.0;83.3
2024;1;CPAN;História - Licenciatura;48;3.0;93.8
2024;1;CPAN;Matemática - Licenciatura;33;2.0;93.9
2024;1;CPAN;Psicologia;47;1.0;97.9
2024;1;CPAN;Sistemas de Informação - Bacharelado;43;6.0;86.0
2024;1;CPAQ;Administração;72;5.0;93.1
2024;1;CPAQ;Ciências Biológicas;61;6.0;90.2
2024;1;CPAQ;Geografia;41;2.0;95.1
2024;1;CPAQ;História;35;2.0;94.3
2024;1;CPAQ;Letras - Português e Espanhol;14;1.0;92.9
2024;1;CPAR;Matemática - Licenciatura;16;1.0;93.8
2024;1;CPCS;Administração;57;3.0;94.7
2024;1;CPCS;Agronomia;61;10.0;83.6
2024;1;CPCS;Engenharia Florestal - Bacharelado;39;2.0;94.9
2024;1;CPCX;Enfermagem - Bacharelado;50;2.0;96.0
2024;1;CPCX;Letras - Português - Licenciatura;30;1.0;96.7
2024;1;CPNA;Administração - Bacharelado;53;2.0;96.2
2024;1;CPNA;Ciências Contábeis;50;3.0;94.0
2024;1;CPNA;Engenharia de Produção;35;8.0;77.1
2024;1;CPNA;História - Licenciatura;19;2.0;89.5
2024;1;CPNV;Administração;47;1.0;97.9
2024;1;CPPP;Matemática - Licenciatura;26;2.0;92.3
2024;1;CPPP;Sistemas de Informação - Bacharelado;40;3.0;92.5
2024;1;CPTL;Administração;60;6.0;90.0
2024;1;CPTL;Ciências Biológicas;68;2.0;97.1
2024;1;CPTL;Ciências Contábeis;54;5.0;90.7
2024;1;CPTL;Enfermagem;43;3.0;93.0
2024;1;CPTL;Engenharia de Produção;55;3.0;94.5
2024;1;CPTL;Geografia;16;1.0;93.8
2024;1;CPTL;História;50;4.0;92.0
2024;1;CPTL;Sistemas de Informação - Bacharelado;63;1.0;98.4
2024;1;ESAN;Administração - Bacharelado;126;50.0;60.3
2024;1;ESAN;Ciências Contábeis - Bacharelado;70;4.0;94.3
2024;1;ESAN;Ciências Econômicas - Bacharelado;68;4.0;94.1
2024;1;ESAN;Curso Superior de Tecnologia em Processos Gerenciais;65;7.0;89.2
2024;1;ESAN;Turismo - Bacharelado;48;1.0;97.9
2024;1;FAALC;Artes Visuais - Bacharelado - Habilitação em Artes Plásticas;41;3.0;92.7
2024;1;FAALC;Artes Visuais - Licenciatura - Habilitação em Artes Plásticas;31;1.0;96.8
2024;1;FAALC;Audiovisual;34;1.0;97.1
2024;1;FAALC;Jornalismo;52;7.0;86.5
2024;1;FAALC;Letras - Português e Espanhol - Licenciatura;51;2.0;96.1
2024;1;FAALC;Letras – Português e Inglês - Licenciatura;58;5.0;91.4
2024;1;FAALC;Música;35;5.0;85.7
2024;1;FACFAN;Farmácia;59;1.0;98.3
2024;1;FACFAN;Nutrição;55;3.0;94.5
2024;1;FACH;Ciências Sociais;65;4.0;93.8
2024;1;FACH;Filosofia;60;5.0;91.7
2024;1;FACH;História - Licenciatura;71;11.0;84.5
2024;1;FACH;Psicologia - Bacharelado;69;4.0;94.2
2024;1;FACOM;Ciência da Computação;77;5.0;93.5
2024;1;FACOM;Engenharia de Computação;76;9.0;88.2
2024;1;FACOM;Engenharia de Software;85;12.0;85.9
2024;1;FACOM;Sistemas de Informação;90;6.0;93.3
2024;1;FADIR;Direito;74;27.0;63.5
2024;1;FAED;Educação Física;54;2.0;96.3
2024;1;FAED;Educação Física - Bacharelado;53;2.0;96.2
2024;1;FAED;Pedagogia;66;19.0;71.2
2024;1;FAENG;Arquitetura e Urbanismo - Bacharelado;63;11.0;82.5
2024;1;FAENG;Engenharia Ambiental;72;2.0;97.2
2024;1;FAENG;Engenharia Civil;68;14.0;79.4
2024;1;FAENG;Engenharia de Produção;78;2.0;97.4
2024;1;FAENG;Geografia - Bacharelado;44;2.0;95.5
